question,retrieval_stage,rank,content
can you suggest an ergonomic mechanical keyboard,dense,1,"name: Microsoft Natural Desktop 7000
price: 769.95
style: Ergonomic
switches: nan
backlit: nan
tenkeyless: False
connection_type: Wireless
color: Black / Silver"
can you suggest an ergonomic mechanical keyboard,dense,2,"name: SteelSeries Apex Pro TKL (2023)
price: 249.99
style: Gaming
switches: SteelSeries OmniPoint 2.0
backlit: RGB
tenkeyless: True
connection_type: Wired, Wireless, Bluetooth Wireless
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,3,"name: RK Royal Kludge RK61
price: 49.99
style: Mini
switches: RK Red
backlit: White
tenkeyless: True
connection_type: Wired, Wireless, Bluetooth Wireless
color: White"
can you suggest an ergonomic mechanical keyboard,dense,4,"name: HP HyperX Alloy Core
price: 39.99
style: Gaming
switches: nan
backlit: RGB
tenkeyless: False
connection_type: Wired
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,5,"name: Razer Huntsman Mini
price: 99.99
style: Mini
switches: Razer Purple Optical Clicky
backlit: RGB
tenkeyless: True
connection_type: Wired
color: White"
can you suggest an ergonomic mechanical keyboard,dense,6,"name: Logitech PRO X Superlight 2
price: 149.0
tracking_method: Optical
connection_type: Wired, Wireless
max_dpi: 32000
hand_orientation: Right
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,7,"name: Logitech G305 LIGHTSPEED
price: 39.99
tracking_method: Optical
connection_type: Wired, Wireless
max_dpi: 12000
hand_orientation: Right
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,8,"name: Razer Basilisk V3
price: 49.98
tracking_method: Optical
connection_type: Wired
max_dpi: 26000
hand_orientation: Right
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,9,"name: Logitech G502 Hero
price: 39.99
tracking_method: Optical
connection_type: Wired
max_dpi: 25600
hand_orientation: Right
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,10,"name: FinalMouse Air58 Ninja
price: 574.99
tracking_method: Optical
connection_type: Wired
max_dpi: 3200
hand_orientation: Right
color: Blue"
can you suggest an ergonomic mechanical keyboard,dense,11,"name: Logitech Pro X
price: 99.99
type: Circumaural
frequency_response: 20,20
microphone: True
wireless: False
enclosure_type: Closed
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,12,"name: Razer RZ34-02140700-R3M1
price: 49.99
channels: 8
channel_wattage: nan
pwm: True
form_factor: nan
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,13,"name: SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4
price: 298.52
type: Circumaural
frequency_response: 10,40
microphone: True
wireless: True
enclosure_type: Closed
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,14,"name: Asus TUF Gaming VG27AQ
price: 299.89
screen_size: 27.0
resolution: 2560,1440
refresh_rate: 165
response_time: 1.0
panel_type: IPS
aspect_ratio: 16:9"
can you suggest an ergonomic mechanical keyboard,dense,15,"name: Corsair RM1000e (2023)
price: 159.99
type: ATX
efficiency: gold
wattage: 1000
modular: Full
color: Black"
can you suggest an ergonomic mechanical keyboard,dense,16,"name: Razer Kiyo Pro Ultra
price: 299.99
resolutions: 4k,2k,1080p,720p
connection: USB 3.2 Gen 1 Type-A
focus_type: Auto
os: Windows
fov: 82.0"
can you suggest an ergonomic mechanical keyboard,dense,17,"name: NZXT Hue
price: 29.95
type: LED Controller
form_factor: 5.25"
can you suggest an ergonomic mechanical keyboard,dense,18,"name: Montech AIR 903 MAX
price: 75.0
type: ATX Mid Tower
color: Black
psu: nan
side_panel: Tempered Glass
external_volume: 54.2
internal_35_bays: 2"
can you suggest an ergonomic mechanical keyboard,dense,19,"name: HP HyperX Cloud II
price: 79.98
type: Circumaural
frequency_response: 15,25
microphone: True
wireless: False
enclosure_type: Closed
color: Black / Red"
can you suggest an ergonomic mechanical keyboard,dense,20,"name: MSI B760 GAMING PLUS WIFI
price: 159.99
socket: LGA1700
form_factor: ATX
max_memory: 192
memory_slots: 4
color: Black / Silver"
can you suggest an ergonomic mechanical keyboard,reranked,1,"name: Corsair RM1000e (2023)
price: 159.99
type: ATX
efficiency: gold
wattage: 1000
modular: Full
color: Black"
can you suggest an ergonomic mechanical keyboard,reranked,2,"name: Razer Kiyo Pro Ultra
price: 299.99
resolutions: 4k,2k,1080p,720p
connection: USB 3.2 Gen 1 Type-A
focus_type: Auto
os: Windows
fov: 82.0"
can you suggest an ergonomic mechanical keyboard,reranked,3,"name: Logitech Pro X
price: 99.99
type: Circumaural
frequency_response: 20,20
microphone: True
wireless: False
enclosure_type: Closed
color: Black"
can you suggest an ergonomic mechanical keyboard,reranked,4,"name: RK Royal Kludge RK61
price: 49.99
style: Mini
switches: RK Red
backlit: White
tenkeyless: True
connection_type: Wired, Wireless, Bluetooth Wireless
color: White"
can you suggest an ergonomic mechanical keyboard,reranked,5,"name: SteelSeries Apex Pro TKL (2023)
price: 249.99
style: Gaming
switches: SteelSeries OmniPoint 2.0
backlit: RGB
tenkeyless: True
connection_type: Wired, Wireless, Bluetooth Wireless
color: Black"
