question,retrieval_stage,rank,content
best RGB gaming keyboard under $150,dense,1,"name: SteelSeries Apex Pro TKL (2023)
price: 249.99
style: Gaming
switches: SteelSeries OmniPoint 2.0
backlit: RGB
tenkeyless: True
connection_type: Wired, Wireless, Bluetooth Wireless
color: Black"
best RGB gaming keyboard under $150,dense,2,"name: HP HyperX Alloy Core
price: 39.99
style: Gaming
switches: nan
backlit: RGB
tenkeyless: False
connection_type: Wired
color: Black"
best RGB gaming keyboard under $150,dense,3,"name: Razer Huntsman Mini
price: 99.99
style: Mini
switches: Razer Purple Optical Clicky
backlit: RGB
tenkeyless: True
connection_type: Wired
color: White"
best RGB gaming keyboard under $150,dense,4,"name: RK Royal Kludge RK61
price: 49.99
style: Mini
switches: RK Red
backlit: White
tenkeyless: True
connection_type: Wired, Wireless, Bluetooth Wireless
color: White"
best RGB gaming keyboard under $150,dense,5,"name: Microsoft Natural Desktop 7000
price: 769.95
style: Ergonomic
switches: nan
backlit: nan
tenkeyless: False
connection_type: Wireless
color: Black / Silver"
best RGB gaming keyboard under $150,dense,6,"name: Logitech PRO X Superlight 2
price: 149.0
tracking_method: Optical
connection_type: Wired, Wireless
max_dpi: 32000
hand_orientation: Right
color: Black"
best RGB gaming keyboard under $150,dense,7,"name: FinalMouse Air58 Ninja
price: 574.99
tracking_method: Optical
connection_type: Wired
max_dpi: 3200
hand_orientation: Right
color: Blue"
best RGB gaming keyboard under $150,dense,8,"name: NZXT Hue
price: 29.95
type: LED Controller
form_factor: 5.25"
best RGB gaming keyboard under $150,dense,9,"name: Asus TUF Gaming VG27AQ
price: 299.89
screen_size: 27.0
resolution: 2560,1440
refresh_rate: 165
response_time: 1.0
panel_type: IPS
aspect_ratio: 16:9"
best RGB gaming keyboard under $150,dense,10,"name: Logitech G305 LIGHTSPEED
price: 39.99
tracking_method: Optical
connection_type: Wired, Wireless
max_dpi: 12000
hand_orientation: Right
color: Black"
best RGB gaming keyboard under $150,dense,11,"name: Logitech G502 Hero
price: 39.99
tracking_method: Optical
connection_type: Wired
max_dpi: 25600
hand_orientation: Right
color: Black"
best RGB gaming keyboard under $150,dense,12,"name: Razer Basilisk V3
price: 49.98
tracking_method: Optical
connection_type: Wired
max_dpi: 26000
hand_orientation: Right
color: Black"
best RGB gaming keyboard under $150,dense,13,"name: NZXT HUE 2 RGB Lighting Kit
price: nan
type: LED Controller
form_factor: 2.5"
best RGB gaming keyboard under $150,dense,14,"name: Razer RZ34-02140700-R3M1
price: 49.99
channels: 8
channel_wattage: nan
pwm: True
form_factor: nan
color: Black"
best RGB gaming keyboard under $150,dense,15,"name: NZXT Hue+
price: nan
type: LED Controller
form_factor: 2.5"
best RGB gaming keyboard under $150,dense,16,"name: Razer Kiyo Pro Ultra
price: 299.99
resolutions: 4k,2k,1080p,720p
connection: USB 3.2 Gen 1 Type-A
focus_type: Auto
os: Windows
fov: 82.0"
best RGB gaming keyboard under $150,dense,17,"name: Corsair iCUE H150i ELITE CAPELLIX XT
price: 189.99
rpm: 550,2100
noise_level: 5,34.1
color: Black
size: 360.0"
best RGB gaming keyboard under $150,dense,18,"name: Logitech Pro X
price: 99.99
type: Circumaural
frequency_response: 20,20
microphone: True
wireless: False
enclosure_type: Closed
color: Black"
best RGB gaming keyboard under $150,dense,19,"name: Corsair iCUE SP120 RGB ELITE 3-Pack
price: 59.99
size: 120
color: Black / White
rpm: 400,1500
airflow: nan
noise_level: nan
pwm: True"
best RGB gaming keyboard under $150,dense,20,"name: NZXT Kraken Elite 360 RGB
price: 273.99
rpm: 500,1800
noise_level: 17.9,30.6
color: White
size: 360.0"
best RGB gaming keyboard under $150,reranked,1,"name: NZXT Hue
price: 29.95
type: LED Controller
form_factor: 5.25"
best RGB gaming keyboard under $150,reranked,2,"name: Microsoft Natural Desktop 7000
price: 769.95
style: Ergonomic
switches: nan
backlit: nan
tenkeyless: False
connection_type: Wireless
color: Black / Silver"
best RGB gaming keyboard under $150,reranked,3,"name: NZXT Hue+
price: nan
type: LED Controller
form_factor: 2.5"
best RGB gaming keyboard under $150,reranked,4,"name: Asus TUF Gaming VG27AQ
price: 299.89
screen_size: 27.0
resolution: 2560,1440
refresh_rate: 165
response_time: 1.0
panel_type: IPS
aspect_ratio: 16:9"
best RGB gaming keyboard under $150,reranked,5,"name: FinalMouse Air58 Ninja
price: 574.99
tracking_method: Optical
connection_type: Wired
max_dpi: 3200
hand_orientation: Right
color: Blue"
