question,retrieval_stage,rank,content
recommend a compact mechanical keyboard,dense,1,"name: RK Royal Kludge RK61
price: 49.99
style: Mini
switches: RK Red
backlit: White
tenkeyless: True
connection_type: Wired, Wireless, Bluetooth Wireless
color: White"
recommend a compact mechanical keyboard,dense,2,"name: Razer Huntsman Mini
price: 99.99
style: Mini
switches: Razer Purple Optical Clicky
backlit: RGB
tenkeyless: True
connection_type: Wired
color: White"
recommend a compact mechanical keyboard,dense,3,"name: SteelSeries Apex Pro TKL (2023)
price: 249.99
style: Gaming
switches: SteelSeries OmniPoint 2.0
backlit: RGB
tenkeyless: True
connection_type: Wired, Wireless, Bluetooth Wireless
color: Black"
recommend a compact mechanical keyboard,dense,4,"name: HP HyperX Alloy Core
price: 39.99
style: Gaming
switches: nan
backlit: RGB
tenkeyless: False
connection_type: Wired
color: Black"
recommend a compact mechanical keyboard,dense,5,"name: Microsoft Natural Desktop 7000
price: 769.95
style: Ergonomic
switches: nan
backlit: nan
tenkeyless: False
connection_type: Wireless
color: Black / Silver"
recommend a compact mechanical keyboard,dense,6,"name: Logitech PRO X Superlight 2
price: 149.0
tracking_method: Optical
connection_type: Wired, Wireless
max_dpi: 32000
hand_orientation: Right
color: Black"
recommend a compact mechanical keyboard,dense,7,"name: Logitech G305 LIGHTSPEED
price: 39.99
tracking_method: Optical
connection_type: Wired, Wireless
max_dpi: 12000
hand_orientation: Right
color: Black"
recommend a compact mechanical keyboard,dense,8,"name: Razer RZ34-02140700-R3M1
price: 49.99
channels: 8
channel_wattage: nan
pwm: True
form_factor: nan
color: Black"
recommend a compact mechanical keyboard,dense,9,"name: Razer Basilisk V3
price: 49.98
tracking_method: Optical
connection_type: Wired
max_dpi: 26000
hand_orientation: Right
color: Black"
recommend a compact mechanical keyboard,dense,10,"name: Logitech G502 Hero
price: 39.99
tracking_method: Optical
connection_type: Wired
max_dpi: 25600
hand_orientation: Right
color: Black"
recommend a compact mechanical keyboard,dense,11,"name: Apricorn Padlock DT FIPS
price: 661.99
type: Desktop
interface: USB Type-A 3.2 Gen 1
capacity: 10000
price_per_gb: 0.066
color: Black"
recommend a compact mechanical keyboard,dense,12,"name: FinalMouse Air58 Ninja
price: 574.99
tracking_method: Optical
connection_type: Wired
max_dpi: 3200
hand_orientation: Right
color: Blue"
recommend a compact mechanical keyboard,dense,13,"name: NZXT HUE 2 RGB Lighting Kit
price: nan
type: LED Controller
form_factor: 2.5"
recommend a compact mechanical keyboard,dense,14,"name: NZXT Hue
price: 29.95
type: LED Controller
form_factor: 5.25"
recommend a compact mechanical keyboard,dense,15,"name: Apricorn Padlock DT FIPS
price: 1172.46
type: Desktop
interface: USB Type-A 3.2 Gen 1
capacity: 22000
price_per_gb: 0.053
color: Black"
recommend a compact mechanical keyboard,dense,16,"name: NZXT Hue+
price: nan
type: LED Controller
form_factor: 2.5"
recommend a compact mechanical keyboard,dense,17,"name: Montech AIR 903 MAX
price: 75.0
type: ATX Mid Tower
color: Black
psu: nan
side_panel: Tempered Glass
external_volume: 54.2
internal_35_bays: 2"
recommend a compact mechanical keyboard,dense,18,"name: Corsair 4000D Airflow
price: 104.99
type: ATX Mid Tower
color: Black
psu: nan
side_panel: Tinted Tempered Glass
external_volume: 48.6
internal_35_bays: 2"
recommend a compact mechanical keyboard,dense,19,"name: Logitech Pro X
price: 99.99
type: Circumaural
frequency_response: 20,20
microphone: True
wireless: False
enclosure_type: Closed
color: Black"
recommend a compact mechanical keyboard,dense,20,"name: Apricorn Aegis Fortress L3
price: 12999.0
type: Portable
interface: USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1
capacity: 20000
price_per_gb: 0.65
color: Black"
recommend a compact mechanical keyboard,reranked,1,"name: Montech AIR 903 MAX
price: 75.0
type: ATX Mid Tower
color: Black
psu: nan
side_panel: Tempered Glass
external_volume: 54.2
internal_35_bays: 2"
recommend a compact mechanical keyboard,reranked,2,"name: NZXT HUE 2 RGB Lighting Kit
price: nan
type: LED Controller
form_factor: 2.5"
recommend a compact mechanical keyboard,reranked,3,"name: Microsoft Natural Desktop 7000
price: 769.95
style: Ergonomic
switches: nan
backlit: nan
tenkeyless: False
connection_type: Wireless
color: Black / Silver"
recommend a compact mechanical keyboard,reranked,4,"name: NZXT Hue
price: 29.95
type: LED Controller
form_factor: 5.25"
recommend a compact mechanical keyboard,reranked,5,"name: Corsair 4000D Airflow
price: 104.99
type: ATX Mid Tower
color: Black
psu: nan
side_panel: Tinted Tempered Glass
external_volume: 48.6
internal_35_bays: 2"
