question,retrieval_stage,rank,content
help me choose a processor with integrated graphics,dense,1,"name: Intel Core i5-14600K
price: 295.99
core_count: 14
core_clock: 3.5
boost_clock: 5.3
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
help me choose a processor with integrated graphics,dense,2,"name: AMD Ryzen 5 8500G
price: 179.0
core_count: 6
core_clock: 4.1
boost_clock: 5.0
tdp: 65
graphics: Radeon 740M
smt: True"
help me choose a processor with integrated graphics,dense,3,"name: Intel Core i5-13600K
price: 283.99
core_count: 14
core_clock: 3.5
boost_clock: 5.1
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
help me choose a processor with integrated graphics,dense,4,"name: Intel Core i5-14600KF
price: 293.99
core_count: 14
core_clock: 3.5
boost_clock: 5.3
tdp: 125
graphics: nan
smt: True"
help me choose a processor with integrated graphics,dense,5,"name: Intel Core i3-12100F
price: 94.98
core_count: 4
core_clock: 3.3
boost_clock: 4.3
tdp: 58
graphics: nan
smt: True"
help me choose a processor with integrated graphics,dense,6,"name: Intel Core i5-12600K
price: 175.74
core_count: 10
core_clock: 3.7
boost_clock: 4.9
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
help me choose a processor with integrated graphics,dense,7,"name: AMD Ryzen 5 5600G
price: 134.48
core_count: 6
core_clock: 3.9
boost_clock: 4.4
tdp: 65
graphics: Radeon Vega 7
smt: True"
help me choose a processor with integrated graphics,dense,8,"name: Intel Core i7-12700K
price: 248.0
core_count: 12
core_clock: 3.6
boost_clock: 5.0
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
help me choose a processor with integrated graphics,dense,9,"name: Intel Core i5-14400F
price: 199.99
core_count: 10
core_clock: 2.5
boost_clock: 4.7
tdp: 65
graphics: nan
smt: True"
help me choose a processor with integrated graphics,dense,10,"name: Intel Core i7-13700K
price: 359.0
core_count: 16
core_clock: 3.4
boost_clock: 5.4
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
help me choose a processor with integrated graphics,reranked,1,"name: Intel Core i7-13700K
price: 359.0
core_count: 16
core_clock: 3.4
boost_clock: 5.4
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
help me choose a processor with integrated graphics,reranked,2,"name: Intel Core i7-12700K
price: 248.0
core_count: 12
core_clock: 3.6
boost_clock: 5.0
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
help me choose a processor with integrated graphics,reranked,3,"name: Intel Core i5-13600K
price: 283.99
core_count: 14
core_clock: 3.5
boost_clock: 5.1
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
help me choose a processor with integrated graphics,reranked,4,"name: Intel Core i5-14600K
price: 295.99
core_count: 14
core_clock: 3.5
boost_clock: 5.3
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
help me choose a processor with integrated graphics,reranked,5,"name: Intel Core i5-12600K
price: 175.74
core_count: 10
core_clock: 3.7
boost_clock: 4.9
tdp: 125
graphics: Intel UHD Graphics 770
smt: True"
